,Area,Section,Field,Var,Cat,Age,Ha,T/Cane,TCH,TCHM,Month Cut,Year,Date Cut
,3,64,6431,N14,P,13.74,6.3,872.991,138.57,10.085152838427947,June,1995.0,19/06/1995
,3,64,6419,N14,P,13.77,11.4,1427.9640000000002,125.26,9.096586782861293,June,1995.0,22/06/1995
,3,64,6428,N14,P,13.77,15.9,2035.041,127.99,9.294843863471314,July,1995.0,19/07/1995
,1,6,0659,N14,1,13.8,13.3,963.053,72.41,5.247101449275362,November,1995.0,29/11/1995
,1,6,0658,N14,1,13.83,13.3,1549.0510000000002,116.47,8.421547360809834,November,1995.0,24/11/1995
,2,19,1941,N14,P,13.87,18.5,2520.07,136.22,9.821196827685654,November,1995.0,16/11/1995
,2,11,1113,N14,P,14.06,15.5,2052.975,132.45,9.420341394025604,November,1995.0,21/11/1995
,2,10,1023,N14,1,14.16,11.2,1780.016,158.93,11.223870056497175,July,1995.0,18/07/1995
,1,1,0108,N14,1,14.26,1.6,166,103.75,7.275596072931276,October,1995.0,16/10/1995
,2,9,0934,N14,P,14.29,11.8,2315.9860000000003,196.27,13.734779566130163,April,1995.0,26/04/1995
,1,4,0429,N14,1,14.46,10.7,775.001,72.43,5.008990318118949,December,1995.0,12/12/1995
,3,64,6422,N14,P,14.49,15,1924.9500000000003,128.33,8.856452726017944,July,1995.0,31/07/1995
,1,24,2424,N14,P,14.59,13,2595.97,199.69,13.686771761480466,June,1995.0,05/06/1995
,2,10,1010,N14,P,14.69,13.7,2171.9979999999996,158.54,10.792375765827092,October,1995.0,20/10/1995
,2,11,1119,N14,1,14.72,15.1,2656.996,175.96,11.953804347826088,September,1995.0,13/09/1995
,1,6,0660,N14,P,14.98,6.4,1222.976,191.09,12.756341789052069,May,1995.0,23/05/1995
,2,15,1513,N14,1,14.98,11.6,2355.032,203.02,13.552736982643525,October,1995.0,15/07/1995
,3,65,6509,N14,4,15.21,11,1359.05,123.55,8.122945430637738,September,1995.0,16/09/1995
,3,65,6538,N14,1,15.25,17.2,2293.964,133.37,8.745573770491804,October,1995.0,06/10/1995
,1,4,0420,N14,P,15.58,5.1,740.0099999999999,145.1,9.313222079589217,May,1995.0,13/05/1995
,2,18,1817,N14,1,15.61,18.6,2338.0200000000004,125.70000000000002,8.052530429212045,September,1995.0,14/09/1995
,1,6,0637,N14,1,15.64,8.3,1284.01,154.7,9.891304347826086,October,1995.0,12/10/1995
,2,18,1846,N14,1,15.67,11.2,1898.96,169.55,10.820038289725591,August,1995.0,06/08/1995
,3,66,6625,N14,1,15.67,15.1,2080.025,137.75,8.790682833439694,July,1995.0,29/07/1995
,1,6,0638,N14,1,15.81,8,1417.04,177.13,11.203668564199873,October,1995.0,19/10/1995
,1,25,2523,N14,P,15.94,14.6,2113.058,144.73,9.079673776662483,August,1995.0,07/08/1995
,1,1,0138,N14,1,16.17,11,1529.99,139.09,8.6017316017316,October,1995.0,18/10/1995
,3,65,6524,N14,3,16.4,10.3,1484.951,144.17,8.790853658536586,December,1995.0,07/12/1995
,1,8,0802,N14,P,16.56,7.6,1245.032,163.82,9.892512077294686,August,1995.0,22/08/1995
,1,6,0633,N14,1,16.79,11.8,1415.056,119.92,7.1423466349017275,December,1995.0,11/12/1995
,3,64,6430,N14,P,16.79,14.6,1868.07,127.95,7.620607504466945,August,1995.0,28/08/1995
,2,26,2622,N14,1,16.92,6.2,720.006,116.13,6.863475177304964,October,1995.0,24/10/1995
,3,65,6529,N14,3,18.5,11.3,1693.9830000000002,149.91,8.103243243243243,August,1995.0,26/08/1995
,2,10,1001,N14,P,22.08,16,2484,155.25,7.031250000000001,December,1995.0,15/12/1995
,1,4,0415,NCo376,P,10.19,10.3,176.02700000000002,17.09,1.677134445534838,August,1995.0,16/08/1995
